,year,destiny,origin,accepted
4082,2001,Afghanistan,Iran (Islamic Rep. of),21
4083,2001,Afghanistan,Iraq,3
4084,2001,Afghanistan,Tajikistan,0
4085,2001,Albania,Bangladesh,3
4086,2001,Albania,Iran (Islamic Rep. of),1
4087,2001,Albania,Iraq,0
4088,2001,Albania,Palestinian,2
4089,2001,Albania,Rep. of Moldova,0
4090,2001,Albania,Romania,0
4091,2001,Albania,Serbia and Kosovo (S/RES/1244 (1999)),3
4092,2001,Albania,Sri Lanka,0
4093,2001,Albania,The former Yugoslav Republic of Macedonia,0
4094,2001,Albania,Turkey,0
4095,2001,Algeria,Burundi,1
4096,2001,Algeria,Cameroon,4
4097,2001,Algeria,Chad,1
4098,2001,Algeria,Congo,1
4099,2001,Algeria,Dem. Rep. of the Congo,1
4100,2001,Algeria,Guinea,0
4101,2001,Algeria,Iraq,3
4102,2001,Algeria,Liberia,4
4103,2001,Algeria,Libya,6
4104,2001,Algeria,Morocco,0
4105,2001,Algeria,Russian Federation,1
4106,2001,Algeria,Rwanda,1
4107,2001,Algeria,Sierra Leone,0
4108,2001,Algeria,Somalia,4
4109,2001,Algeria,Spain,1
4110,2001,Algeria,Sudan,0
4111,2001,Algeria,Syrian Arab Rep.,4
4112,2001,Angola,Afghanistan,0
4113,2001,Angola,Burundi,0
4114,2001,Angola,Cameroon,0
4115,2001,Angola,Chad,0
4116,2001,Angola,Comoros,0
4117,2001,Angola,Congo,1
4118,2001,Angola,Cuba,2
4119,2001,Angola,Dem. Rep. of the Congo,24
4120,2001,Angola,Guinea,0
4121,2001,Angola,Guinea-Bissau,0
4122,2001,Angola,Liberia,0
4123,2001,Angola,Mauritania,0
4124,2001,Angola,Rwanda,12
4125,2001,Angola,Sierra Leone,2
4126,2001,Angola,Sudan,0
4127,2001,Angola,Uganda,0
4128,2001,Angola,United Rep. of Tanzania,0
4129,2001,Angola,Zambia,0
4130,2001,Argentina,Afghanistan,0
4131,2001,Argentina,Albania,0
4132,2001,Argentina,Algeria,0
4133,2001,Argentina,Angola,0
4134,2001,Argentina,Armenia,9
4135,2001,Argentina,Azerbaijan,0
4136,2001,Argentina,Bangladesh,0
4137,2001,Argentina,Benin,0
4138,2001,Argentina,Bolivia (Plurinational State of),0
4139,2001,Argentina,Bulgaria,0
4140,2001,Argentina,Chile,0
4141,2001,Argentina,Colombia,3
4142,2001,Argentina,Congo,0
4143,2001,Argentina,Cuba,2
4144,2001,Argentina,Côte d'Ivoire,0
4145,2001,Argentina,Dem. Rep. of the Congo,0
4146,2001,Argentina,Dominican Rep.,0
4147,2001,Argentina,Ecuador,0
4148,2001,Argentina,Estonia,0
4149,2001,Argentina,Georgia,0
4150,2001,Argentina,Ghana,0
4151,2001,Argentina,Guinea,1
4152,2001,Argentina,Haiti,0
4153,2001,Argentina,India,0
4154,2001,Argentina,Iran (Islamic Rep. of),0
4155,2001,Argentina,Iraq,5
4156,2001,Argentina,Kazakhstan,0
4157,2001,Argentina,Kyrgyzstan,0
4158,2001,Argentina,Liberia,0
4159,2001,Argentina,Morocco,0
4160,2001,Argentina,Nicaragua,8
4161,2001,Argentina,Nigeria,0
4162,2001,Argentina,Pakistan,0
4163,2001,Argentina,Paraguay,1
4164,2001,Argentina,Peru,17
4165,2001,Argentina,Romania,0
4166,2001,Argentina,Russian Federation,6
4167,2001,Argentina,Rwanda,0
4168,2001,Argentina,Senegal,0
