,year,destiny,origin,accepted
43302,2009,Afghanistan,Eritrea,1
43303,2009,Afghanistan,Iran (Islamic Rep. of),0
43304,2009,Afghanistan,Iraq,1
43305,2009,Afghanistan,Pakistan,0
43306,2009,Albania,China,1
43307,2009,Albania,Czech Rep.,0
43308,2009,Albania,Iran (Islamic Rep. of),0
43309,2009,Albania,Serbia and Kosovo (S/RES/1244 (1999)),1
43310,2009,Algeria,Benin,0
43311,2009,Algeria,Burundi,1
43312,2009,Algeria,Cameroon,3
43313,2009,Algeria,Central African Rep.,0
43314,2009,Algeria,Chad,1
43315,2009,Algeria,Congo,2
43316,2009,Algeria,Côte d'Ivoire,11
43317,2009,Algeria,Dem. Rep. of the Congo,6
43318,2009,Algeria,Eritrea,0
43319,2009,Algeria,Ethiopia,1
43320,2009,Algeria,Guinea,0
43321,2009,Algeria,Iraq,2
43322,2009,Algeria,Liberia,1
43323,2009,Algeria,Libya,0
43324,2009,Algeria,Mali,0
43325,2009,Algeria,Morocco,0
43326,2009,Algeria,Nigeria,0
43327,2009,Algeria,Palestinian,1
43328,2009,Algeria,Rwanda,0
43329,2009,Algeria,Senegal,0
43330,2009,Algeria,Sierra Leone,0
43331,2009,Algeria,Somalia,1
43332,2009,Algeria,South Africa,0
43333,2009,Algeria,Sudan,0
43334,2009,Algeria,Togo,1
43335,2009,Algeria,Yemen,0
43336,2009,Algeria,Zimbabwe,0
43337,2009,Angola,Burkina Faso,0
43338,2009,Angola,Burundi,1
43339,2009,Angola,Cameroon,0
43340,2009,Angola,Central African Rep.,0
43341,2009,Angola,Chad,11
43342,2009,Angola,Congo,0
43343,2009,Angola,Côte d'Ivoire,37
43344,2009,Angola,Dem. Rep. of the Congo,1
43345,2009,Angola,Djibouti,0
43346,2009,Angola,Eritrea,1
43347,2009,Angola,Ethiopia,0
43348,2009,Angola,Gambia,0
43349,2009,Angola,Guinea,9
43350,2009,Angola,Guinea-Bissau,1
43351,2009,Angola,Haiti,1
43352,2009,Angola,Iraq,1
43353,2009,Angola,Liberia,4
43354,2009,Angola,Mauritania,40
43355,2009,Angola,Nigeria,0
43356,2009,Angola,Rep. of Korea,0
43357,2009,Angola,Rwanda,137
43358,2009,Angola,Saudi Arabia,0
43359,2009,Angola,Senegal,0
43360,2009,Angola,Sierra Leone,3
43361,2009,Angola,Somalia,5
43362,2009,Angola,South Africa,0
43363,2009,Angola,Sudan,36
43364,2009,Angola,Togo,0
43365,2009,Angola,Uganda,0
43366,2009,Angola,United Rep. of Tanzania,0
43367,2009,Angola,Western Sahara,5
43368,2009,Angola,Zimbabwe,0
43369,2009,Argentina,Albania,0
43370,2009,Argentina,Angola,0
43371,2009,Argentina,Armenia,2
43372,2009,Argentina,Bangladesh,0
43373,2009,Argentina,Bolivia (Plurinational State of),0
43374,2009,Argentina,Brazil,0
43375,2009,Argentina,Bulgaria,0
43376,2009,Argentina,Burundi,3
43377,2009,Argentina,Cabo Verde,0
43378,2009,Argentina,Cameroon,1
43379,2009,Argentina,Chile,0
43380,2009,Argentina,China,0
43381,2009,Argentina,Colombia,29
43382,2009,Argentina,Congo,0
43383,2009,Argentina,Cuba,15
43384,2009,Argentina,Czech Rep.,0
43385,2009,Argentina,Côte d'Ivoire,11
43386,2009,Argentina,Dominican Rep.,0
43387,2009,Argentina,Ecuador,0
43388,2009,Argentina,Egypt,0
