,country_name,n_neightbours
0,France,8
1,Spain,5
2,Oman,3
3,Saudi Arabia,7
4,China,16
5,Iran (Islamic Republic of),7
6,Pakistan,4
7,Tajikistan,4
8,Turkmenistan,4
9,Uzbekistan,5
10,,86
11,Greece,4
12,Montenegro,4
13,North Macedonia,4
14,Serbia,8
15,Azerbaijan,5
16,Georgia,4
17,Turkey,8
18,Congo,5
19,Congo (the Democratic Republic of the),9
20,Namibia,4
21,Zambia,8
22,Bolivia (Plurinational State Of),5
23,Brazil,10
24,Chile,3
25,Paraguay,3
26,Uruguay,2
27,Czechia,4
28,Germany,9
29,Hungary,7
30,Italy,6
31,Liechtenstein,2
32,Slovakia,5
33,Slovenia,4
34,Switzerland,5
35,Armenia,4
36,Russian Federation,14
37,Croatia,5
38,India,6
39,Myanmar,5
40,Luxembourg,3
41,Netherlands,2
42,Benin,4
43,Cote d’Ivoire,5
44,Ghana,3
45,Mali,7
46,Niger,7
47,Togo,3
48,Romania,5
49,Rwanda,4
50,Tanzania (the United Republic of),8
51,Burkina Faso,6
52,Nigeria,4
53,Malaysia,3
54,Argentina,5
55,Peru,5
56,Colombia,5
57,French Guiana,2
58,Guyana,3
59,Suriname,3
60,Venezuela (Bolivarian Republic of),3
61,South Africa,6
62,Zimbabwe,4
63,Latvia,4
64,Lithuania,4
65,Poland,7
66,Ukraine,7
67,Guatemala,4
68,Mexico,3
69,United States of America,2
70,Angola,4
71,Burundi,3
72,Central African Republic,6
73,South Sudan,6
74,Uganda,5
75,Cameroon,6
76,Chad,6
77,Sudan,7
78,Gabon,3
79,Austria,8
80,Guinea,6
81,Liberia,3
82,Equatorial Guinea,2
83,Afghanistan,6
84,Bhutan,2
85,Hong Kong,1
86,Kazakhstan,5
87,Korea (Democratic People's Republic of),3
88,Kyrgyzstan,4
89,Lao People's Democratic Republic,5
90,Macao,1
91,Mongolia,2
92,Nepal,2
93,Viet Nam,3
94,Ecuador,2
95,Panama,2
96,Nicaragua,2
97,Belgium,4
98,Denmark,1
99,Eritrea,3
100,Ethiopia,6
101,Somalia,3
102,Haiti,1
103,Libya,6
104,Mauritania,4
105,Morocco,3
106,Tunisia,2
107,Western Sahara,3
108,Israel,5
109,"Palestine, State of",3
110,Algeria,7
111,Djibouti,3
112,Andorra,2
113,Gibraltar,1
114,Portugal,1
115,Kenya,5
116,Norway,3
117,Sweden,2
118,Monaco,1
119,Ireland,1
120,Senegal,5
121,Guinea-Bissau,2
122,Sierra Leone,2
123,Albania,4
124,Bulgaria,5
125,Belize,2
126,El Salvador,2
127,Honduras,3
128,Bosnia and Herzegovina,3
129,Dominican Republic,1
130,Papua New Guinea,1
131,Timor-Leste,1
132,United Kingdom of Great Britain and Northern Ireland,1
133,Egypt,4
134,Jordan,5
135,Lebanon,2
136,Syrian Arab Republic,5
137,Bangladesh,2
138,Kuwait,2
139,Iraq,6
140,San Marino,1
141,Holy See,1
142,Thailand,4
143,Korea (the Republic of),1
144,Cambodia,3
145,Belarus,5
146,Estonia,2
147,Sint Maarten (Dutch part),1
148,Mozambique,6
149,Brunei Darussalam,1
150,Indonesia,3
151,Malawi,3
152,Eswatini,2
153,Botswana,4
154,Costa Rica,2
155,Finland,3
156,United Arab Emirates,2
157,Yemen,2
158,Moldova (the Republic of),2
159,Qatar,1
160,Gambia (the),1
161,Saint Martin (French part),1
162,Canada,1
163,Lesotho,1
