,destiny,rejected
0,Afghanistan,243.0
1,Japan,35442.0
2,Lithuania,1609.0
3,Guinea-Bissau,302.0
4,Syrian Arab Rep.,14249.0
5,Antigua and Barbuda,0.0
6,Libya,1115.0
7,Serbia and Kosovo (S/RES/1244 (1999)),683.0
8,Estonia,405.0
9,Eritrea,89.0
10,Côte d'Ivoire,2602.0
11,Barbados,0.0
12,Romania,14913.0
13,Guadeloupe,0.0
14,Germany,830808.0
15,Australia,134947.0
16,Mexico,5171.0
17,Cayman Islands,243.0
18,Tuvalu,0.0
19,Ireland,83251.0
20,"China, Macao SAR",7.0
21,Malaysia,15735.0
22,Russian Federation,33212.0
23,Malta,8484.0
24,Ghana,680.0
25,Bahamas,443.0
26,Senegal,2576.0
27,Colombia,1067.0
28,Trinidad and Tobago,134.0
29,Holy See (the),0.0
30,Tajikistan,2991.0
31,New Caledonia,0.0
32,Georgia,1356.0
33,Niger,331.0
34,Turkmenistan,725.0
35,Togo,631.0
36,Various/Unknown,0.0
37,Turkey,19438.0
38,Mozambique,1099.0
39,Bolivia (Plurinational State of),175.0
40,Denmark,52827.0
41,Ecuador,70572.0
42,United Rep. of Tanzania,964.0
43,Tibetan,0.0
44,Lebanon,13439.0
45,Cambodia,2132.0
46,British Virgin Islands,0.0
47,Oman,7.0
48,Anguilla,0.0
49,United Arab Emirates,468.0
50,Namibia,1067.0
51,Palestinian,0.0
52,Aruba,4.0
53,Poland,51793.0
54,Azerbaijan,4229.0
55,Kazakhstan,1289.0
56,Iran (Islamic Rep. of),147970.0
57,Andorra,0.0
58,Grenada,0.0
59,Marshall Islands,0.0
60,Guyana,0.0
61,Bulgaria,8427.0
62,Tunisia,991.0
63,Finland,28541.0
64,New Zealand,14532.0
65,Norfolk Island,0.0
66,Burundi,12168.0
67,Dominican Rep.,387.0
68,Slovenia,3778.0
69,Norway,172514.0
70,Iceland,1096.0
71,Jordan,11967.0
72,Sri Lanka,1126.0
73,Guinea,2195.0
74,Belize,58.0
75,Saint Kitts and Nevis,6.0
76,Kiribati,0.0
77,Saint-Pierre-et-Miquelon,0.0
78,American Samoa,0.0
79,Cabo Verde,0.0
80,Bangladesh,169.0
81,Latvia,608.0
82,Hungary,32513.0
83,Uganda,20183.0
84,Angola,1493.0
85,Uzbekistan,746.0
86,Saint Lucia,4.0
87,Chad,843.0
88,Sudan,7925.0
89,Nepal,795.0
90,French Guiana,0.0
91,Martinique,0.0
92,Somalia,2527.0
93,Papua New Guinea,274.0
94,San Marino,0.0
95,Indonesia,2803.0
96,Tonga,1.0
97,Yemen,5730.0
98,Montserrat,0.0
99,Central African Rep.,2465.0
100,Mauritius,0.0
101,Kyrgyzstan,1953.0
102,Jamaica,15.0
103,Bahrain,24.0
104,China,764.0
