,Countries
0,Guatemala
1,New Zealand
2,Norway
3,Burundi
4,Algeria
5,Estonia
6,Sudan
7,Guinea-Bissau
8,Mexico
9,Micronesia (Federated States of)
10,Rep. of Moldova
11,Bonaire
12,American Samoa
13,Jordan
14,Senegal
15,Russian Federation
16,Somalia
17,Dominican Rep.
18,Mozambique
19,French Polynesia
20,Niue
21,Vanuatu
22,Israel
23,Lao People's Dem. Rep.
24,Mongolia
25,Slovakia
26,Botswana
27,Pakistan
28,Italy
29,Gabon
30,Ireland
31,Rep. of Korea
32,United Kingdom
33,Stateless
34,Benin
35,Panama
36,Dominica
37,Philippines
38,Ghana
39,Mali
40,Niger
41,Central African Rep.
42,Chad
43,Saint Kitts and Nevis
44,Sao Tome and Principe
45,Peru
46,Georgia
47,Monaco
48,Iran (Islamic Rep. of)
49,El Salvador
50,Cayman Islands
51,Sint Maarten (Dutch part)
52,Lebanon
53,South Africa
54,Equatorial Guinea
55,New Caledonia
56,Guadeloupe
57,Turks and Caicos Islands
58,Colombia
59,Gibraltar
60,Ethiopia
61,Myanmar
62,Croatia
63,Argentina
64,Serbia and Kosovo (S/RES/1244 (1999))
65,Lesotho
66,Ukraine
67,Antigua and Barbuda
68,South Sudan
69,Maldives
70,Bhutan
71,Solomon Islands
72,Seychelles
73,Tibetan
74,Togo
75,Palestinian
76,Yemen
77,Chile
78,Gambia
79,Grenada
80,Australia
81,Slovenia
82,Haiti
83,Congo
84,Bolivia (Plurinational State of)
85,Wallis and Futuna Islands 
86,Iceland
87,Nicaragua
88,Cameroon
89,Svalbard and Jan Mayen
90,Cabo Verde
91,"China, Macao SAR"
92,Comoros
93,United States of America
94,Zimbabwe
95,Tuvalu
96,Samoa
97,India
98,Tunisia
99,Trinidad and Tobago
100,Belize
101,Bangladesh
102,Belarus
103,Madagascar
104,Aruba
105,Armenia
106,Spain
107,Rwanda
108,Guinea
109,French Guiana
110,Malaysia
111,Malta
112,Viet Nam
113,Liberia
114,Saint Vincent and the Grenadines
115,Egypt
116,Greece
117,Timor-Leste
118,Romania
119,Saudi Arabia
120,Bosnia and Herzegovina
121,Bahamas
122,Iraq
123,Costa Rica
124,Poland
125,Kiribati
126,Czech Rep.
127,Brunei Darussalam
128,The former Yugoslav Republic of Macedonia
129,Sri Lanka
130,Namibia
131,British Virgin Islands
132,Uganda
133,Côte d'Ivoire
134,Bulgaria
135,Palau
136,Nepal
137,Germany
138,Denmark
139,Honduras
140,Tajikistan
141,Oman
142,Nigeria
143,Guyana
144,Andorra
145,Luxembourg
146,Albania
147,Dem. People's Rep. of Korea
148,Saint Lucia
149,Lithuania
150,France
151,China
152,"China, Hong Kong SAR"
153,Tonga
154,Turkmenistan
155,Finland
156,Mauritania
157,Barbados
158,Thailand
159,Ecuador
160,Suriname
161,Brazil
162,Kazakhstan
163,Holy See (the)
164,Canada
165,Morocco
166,Afghanistan
167,Puerto Rico
168,Norfolk Island
169,Djibouti
170,Papua New Guinea
171,Saint-Pierre-et-Miquelon
172,Cyprus
173,Switzerland
174,Hungary
175,Nauru
176,Japan
177,United Rep. of Tanzania
178,Martinique
179,Syrian Arab Rep.
180,Zambia
181,Qatar
182,Malawi
183,Western Sahara
184,Venezuela (Bolivarian Republic of)
185,Anguilla
186,Angola
187,Austria
188,Portugal
189,United Arab Emirates
190,Sierra Leone
191,Mauritius
192,Cuba
193,Turkey
194,Montserrat
195,Bahrain
196,Swaziland
197,Dem. Rep. of the Congo
198,Libya
199,Various/Unknown
200,Curaçao
201,Kenya
202,Cambodia
203,Fiji
204,Indonesia
205,Sweden
206,Singapore
207,Burkina Faso
208,San Marino
209,Montenegro
210,Paraguay
211,Liechtenstein
212,Belgium
213,Marshall Islands
214,Azerbaijan
215,Kyrgyzstan
216,Netherlands
217,Latvia
218,Kuwait
219,Uzbekistan
220,Bermuda
221,Eritrea
222,Cook Islands
223,Uruguay
224,Jamaica
