,year,destiny,origin,accepted
37988,2008,Afghanistan,Egypt,0
37989,2008,Afghanistan,Eritrea,0
37990,2008,Afghanistan,Iran (Islamic Rep. of),0
37991,2008,Afghanistan,Iraq,0
37992,2008,Afghanistan,Pakistan,0
37993,2008,Afghanistan,Tajikistan,0
37994,2008,Afghanistan,Turkey,0
37995,2008,Albania,Afghanistan,0
37996,2008,Albania,China,0
37997,2008,Albania,Czech Rep.,0
37998,2008,Albania,Montenegro,0
37999,2008,Albania,Morocco,0
38000,2008,Albania,Nigeria,0
38001,2008,Albania,Serbia and Kosovo (S/RES/1244 (1999)),0
38002,2008,Albania,Sri Lanka,0
38003,2008,Algeria,Angola,0
38004,2008,Algeria,Benin,0
38005,2008,Algeria,Cameroon,0
38006,2008,Algeria,Central African Rep.,1
38007,2008,Algeria,Chad,0
38008,2008,Algeria,Congo,0
38009,2008,Algeria,Côte d'Ivoire,2
38010,2008,Algeria,Dem. Rep. of the Congo,25
38011,2008,Algeria,Eritrea,0
38012,2008,Algeria,Ethiopia,0
38013,2008,Algeria,Guinea,0
38014,2008,Algeria,Guinea-Bissau,0
38015,2008,Algeria,Iraq,1
38016,2008,Algeria,Liberia,0
38017,2008,Algeria,Mali,0
38018,2008,Algeria,Morocco,0
38019,2008,Algeria,Niger,0
38020,2008,Algeria,Nigeria,0
38021,2008,Algeria,Palestinian,0
38022,2008,Algeria,Rwanda,0
38023,2008,Algeria,Senegal,0
38024,2008,Algeria,Sierra Leone,0
38025,2008,Algeria,Somalia,0
38026,2008,Algeria,South Africa,0
38027,2008,Algeria,Sudan,0
38028,2008,Algeria,Syrian Arab Rep.,0
38029,2008,Algeria,Togo,0
38030,2008,Algeria,Tunisia,0
38031,2008,Algeria,Uganda,0
38032,2008,Angola,Burundi,0
38033,2008,Angola,Cameroon,0
38034,2008,Angola,Chad,9
38035,2008,Angola,Congo,0
38036,2008,Angola,Côte d'Ivoire,26
38037,2008,Angola,Dem. Rep. of the Congo,11
38038,2008,Angola,Eritrea,0
38039,2008,Angola,Ethiopia,0
38040,2008,Angola,Gambia,0
38041,2008,Angola,Guinea,1
38042,2008,Angola,Guinea-Bissau,0
38043,2008,Angola,Haiti,0
38044,2008,Angola,Iraq,0
38045,2008,Angola,Liberia,2
38046,2008,Angola,Mauritania,3
38047,2008,Angola,Rep. of Korea,0
38048,2008,Angola,Rwanda,21
38049,2008,Angola,Saudi Arabia,0
38050,2008,Angola,Senegal,0
38051,2008,Angola,Sierra Leone,3
38052,2008,Angola,Somalia,4
38053,2008,Angola,South Africa,1
38054,2008,Angola,Sudan,10
38055,2008,Angola,Uganda,0
38056,2008,Angola,United Rep. of Tanzania,0
38057,2008,Angola,Zimbabwe,0
38058,2008,Argentina,Angola,0
38059,2008,Argentina,Armenia,0
38060,2008,Argentina,Bangladesh,1
38061,2008,Argentina,Bolivia (Plurinational State of),0
38062,2008,Argentina,Burundi,1
38063,2008,Argentina,Cabo Verde,0
38064,2008,Argentina,Cameroon,0
38065,2008,Argentina,Chad,0
38066,2008,Argentina,Chile,0
38067,2008,Argentina,Colombia,68
38068,2008,Argentina,Congo,0
38069,2008,Argentina,Cuba,10
38070,2008,Argentina,Côte d'Ivoire,1
38071,2008,Argentina,Dominican Rep.,0
38072,2008,Argentina,Ecuador,1
38073,2008,Argentina,Egypt,0
38074,2008,Argentina,Eritrea,2
38075,2008,Argentina,Gambia,0
38076,2008,Argentina,Ghana,7
38077,2008,Argentina,Guinea,1
38078,2008,Argentina,Guinea-Bissau,1
38079,2008,Argentina,Haiti,8
38080,2008,Argentina,Hungary,0
38081,2008,Argentina,India,0
38082,2008,Argentina,Iraq,0
38083,2008,Argentina,Israel,0
38084,2008,Argentina,Kazakhstan,0
38085,2008,Argentina,Kenya,1
38086,2008,Argentina,Liberia,2
38087,2008,Argentina,Mauritania,0
38088,2008,Argentina,Mexico,0
38089,2008,Argentina,Nicaragua,0
38090,2008,Argentina,Nigeria,1
38091,2008,Argentina,Pakistan,0
38092,2008,Argentina,Paraguay,0
38093,2008,Argentina,Peru,2
38094,2008,Argentina,Romania,0
38095,2008,Argentina,Russian Federation,0
38096,2008,Argentina,Senegal,0
38097,2008,Argentina,Serbia and Kosovo (S/RES/1244 (1999)),0
38098,2008,Argentina,Sierra Leone,1
38099,2008,Argentina,South Africa,0
38100,2008,Argentina,Sri Lanka,1
38101,2008,Argentina,Tunisia,2
38102,2008,Argentina,Turkey,0
38103,2008,Argentina,Ukraine,3
38104,2008,Argentina,United Rep. of Tanzania,0
38105,2008,Argentina,Uruguay,0
38106,2008,Argentina,Various/Unknown,0
38107,2008,Argentina,Venezuela (Bolivarian Republic of),0
38108,2008,Armenia,Cuba,0
38109,2008,Armenia,Georgia,0
38110,2008,Armenia,Iran (Islamic Rep. of),0
38111,2008,Armenia,Iraq,0
38112,2008,Armenia,Lebanon,0
38113,2008,Armenia,Palestinian,0
38114,2008,Armenia,Russian Federation,0
38115,2008,Armenia,Sri Lanka,0
38116,2008,Armenia,Syrian Arab Rep.,0
38117,2008,Armenia,Turkey,0
38118,2008,Armenia,Turkmenistan,0
38119,2008,Australia,Afghanistan,34
38120,2008,Australia,Albania,8
38121,2008,Australia,Algeria,2
38122,2008,Australia,Angola,1
38123,2008,Australia,Argentina,0
38124,2008,Australia,Armenia,0
38125,2008,Australia,Austria,0
38126,2008,Australia,Azerbaijan,0
38127,2008,Australia,Bahrain,2
38128,2008,Australia,Bangladesh,46
